trade_num,position_id,entry_deal_ticket,exit_deal_ticket,symbol,direction,grid_level,level_number,volume_lots,open_time,close_time,duration_seconds,duration_formatted,open_price,close_price,price_change,points_captured,gross_profit_usd,commission_usd,swap_usd,net_profit_usd,is_win,exit_type,exit_comment,sl_recorded_price,sl_slippage_points,account_balance_after_trade,cumulative_net_profit,day_of_week,hour_of_day,date
173,9548624,3393801,3398165,XAUUSD.u,BUY,STR B14,14,0.05,2026-08-24 02:08:02.604,2026-08-24 04:10:13.799,7331.19,2h 2m 11s,4639.14,4643.39,4.25,4.25,21.25,0.0,0.0,21.25,1,TRAILING_STOP,[sl 4643.39],4643.39,0.0,1453.95,453.95,Monday,2,2026-08-24
174,9548626,3393941,3398283,XAUUSD.u,BUY,STR B15,15,0.05,2026-08-24 02:14:18.161,2026-08-24 04:11:23.840,7025.68,1h 57m 5s,4640.68,4650.29,9.61,9.61,48.05,0.0,0.0,48.05,1,TRAILING_STOP,[sl 4650.29],4650.29,0.0,1502.0,502.0,Monday,2,2026-08-24
175,9548617,3394497,3394576,XAUUSD.u,SELL,STR S10,10,0.01,2026-08-24 02:26:30.805,2026-08-24 02:27:00.334,29.53,29s,4602.18,4598.02,-4.16,4.16,4.16,0.0,0.0,4.16,1,TRAILING_STOP,[sl 4598.02],4598.02,0.0,1506.16,506.16,Monday,2,2026-08-24
176,9548619,3394520,3394577,XAUUSD.u,SELL,STR S11,11,0.05,2026-08-24 02:26:37.676,2026-08-24 02:27:01.387,23.71,23s,4600.64,4599.58,-1.06,1.06,5.3,0.0,0.0,5.3,1,TRAILING_STOP,[sl 4599.58],4599.58,0.0,1511.46,511.46,Monday,2,2026-08-24
177,9548621,3394549,3394593,XAUUSD.u,SELL,STR S12,12,0.05,2026-08-24 02:26:52.590,2026-08-24 02:27:23.248,30.66,30s,4599.1,4598.07,-1.03,1.03,5.15,0.0,0.0,5.15,1,TRAILING_STOP,[sl 4598.07],4598.07,0.0,1516.61,516.61,Monday,2,2026-08-24
178,9548628,3398073,3398284,XAUUSD.u,BUY,STR B16,16,0.05,2026-08-24 04:08:59.822,2026-08-24 04:11:23.840,144.02,2m 24s,4642.22,4650.29,8.07,8.07,40.35,0.0,0.0,40.35,1,TRAILING_STOP,[sl 4650.29],4650.29,0.0,1556.96,556.96,Monday,4,2026-08-24
179,9548630,3398149,3398285,XAUUSD.u,BUY,STR B17,17,0.05,2026-08-24 04:10:06.452,2026-08-24 04:11:23.840,77.39,1m 17s,4643.76,4650.38,6.62,6.62,33.1,0.0,0.0,33.1,1,TRAILING_STOP,[sl 4650.38],4650.38,0.0,1590.06,590.06,Monday,4,2026-08-24
180,9548632,3398174,3398286,XAUUSD.u,BUY,STR B18,18,0.05,2026-08-24 04:10:33.696,2026-08-24 04:11:23.840,50.14,50s,4645.3,4650.3,5.0,5.0,25.0,0.0,0.0,25.0,1,TRAILING_STOP,[sl 4650.30],4650.3,0.0,1615.06,615.06,Monday,4,2026-08-24
181,9548634,3398195,3398287,XAUUSD.u,BUY,STR B19,19,0.05,2026-08-24 04:10:41.897,2026-08-24 04:11:23.840,41.94,41s,4646.84,4650.29,3.45,3.45,17.25,0.0,0.0,17.25,1,TRAILING_STOP,[sl 4650.29],4650.29,0.0,1632.31,632.31,Monday,4,2026-08-24
182,9548636,3398220,3398291,XAUUSD.u,BUY,STR B20,20,0.05,2026-08-24 04:10:49.511,2026-08-24 04:11:35.979,46.47,46s,4648.38,4648.73,0.35,0.35,1.75,0.0,0.0,1.75,1,TRAILING_STOP,[sl 4648.73],4648.73,0.0,1634.06,634.06,Monday,4,2026-08-24
183,9548638,3398237,3398504,XAUUSD.u,BUY,STR B21,21,0.2,2026-08-24 04:11:00.285,2026-08-24 04:18:47.771,467.49,7m 47s,4649.92,4653.59,3.67,3.67,73.4,0.0,0.0,73.4,1,TRAILING_STOP,[sl 4653.59],4653.59,0.0,1707.46,707.46,Monday,4,2026-08-24
184,9548640,3398258,3398518,XAUUSD.u,BUY,STR B22,22,0.2,2026-08-24 04:11:11.519,2026-08-24 04:20:01.360,529.84,8m 49s,4651.46,4652.33,0.87,0.87,17.4,0.0,0.0,17.4,1,TRAILING_STOP,[sl 4652.33],4652.33,0.0,1724.86,724.86,Monday,4,2026-08-24
185,9548643,3398448,3398692,XAUUSD.u,BUY,STR B23,23,0.2,2026-08-24 04:17:33.982,2026-08-24 04:30:10.335,756.35,12m 36s,4653.0,4653.75,0.75,0.75,15.0,0.0,0.0,15.0,1,TRAILING_STOP,[sl 4653.75],4653.75,0.0,1739.86,739.86,Monday,4,2026-08-24
186,9586858,3402037,3402466,XAUUSD.u,BUY,STR B1,1,0.01,2026-08-24 06:13:02.084,2026-08-24 06:22:36.467,574.38,9m 34s,4637.63,4637.8,0.17,0.17,0.17,0.0,0.0,0.17,1,TRAILING_STOP,[sl 4637.80],4637.8,0.0,1740.03,740.03,Monday,6,2026-08-24
187,9586860,3402204,3404346,XAUUSD.u,BUY,STR B2,2,0.01,2026-08-24 06:17:51.041,2026-08-24 07:10:00.235,3129.19,52m 9s,4639.18,4639.79,0.61,0.61,0.61,0.0,0.0,0.61,1,TRAILING_STOP,[sl 4639.79],4639.79,0.0,1740.64,740.64,Monday,6,2026-08-24
188,9586862,3402284,3404821,XAUUSD.u,BUY,STR B3,3,0.01,2026-08-24 06:18:53.205,2026-08-24 07:16:20.963,3447.76,57m 27s,4640.73,4643.97,3.24,3.24,3.24,0.0,0.0,3.24,1,TRAILING_STOP,[sl 4643.97],4643.97,0.0,1743.88,743.88,Monday,6,2026-08-24
189,9587468,3402537,3402709,XAUUSD.u,BUY,STR B1,1,0.01,2026-08-24 06:24:41.269,2026-08-24 06:30:57.652,376.38,6m 16s,4637.63,4638.93,1.3,1.3,1.3,0.0,0.0,1.3,1,TRAILING_STOP,[sl 4638.93],4638.93,0.0,1745.18,745.18,Monday,6,2026-08-24
190,9587716,3402779,3403886,XAUUSD.u,BUY,STR B1,1,0.01,2026-08-24 06:32:09.703,2026-08-24 07:04:27.057,1937.35,32m 17s,4637.63,4638.71,1.08,1.08,1.08,0.0,0.0,1.08,1,TRAILING_STOP,[sl 4638.71],4638.71,0.0,1746.26,746.26,Monday,6,2026-08-24
191,9586859,3402911,3406103,XAUUSD.u,SELL,STR S1,1,0.01,2026-08-24 06:33:46.221,2026-08-24 07:34:23.334,3637.11,1h 0m 37s,4634.53,4631.32,-3.21,3.21,3.21,0.0,0.0,3.21,1,TRAILING_STOP,[sl 4631.32],4631.32,0.0,1749.47,749.47,Monday,6,2026-08-24
