ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
1902859605,1788265864,1788265864269,0,0,0,5,0,2,1,901018,0,0,3,0.01,0.01,4366.02,0.0,0.0,4370.65,0.0,XAUUSD,STR S1,
1902859631,1788265864,1788265864467,0,0,0,5,0,2,1,901018,0,0,3,0.01,0.01,4364.56,0.0,0.0,4370.65,0.0,XAUUSD,STR S2,
1902859642,1788265864,1788265864565,0,0,0,4,0,2,1,901018,0,0,3,0.01,0.01,4371.86,0.0,0.0,4370.93,0.0,XAUUSD,STR B3,
1902859658,1788265864,1788265864668,0,0,0,5,0,2,1,901018,0,0,3,0.01,0.01,4363.1,0.0,0.0,4370.65,0.0,XAUUSD,STR S3,
1902859667,1788265864,1788265864767,0,0,0,4,0,2,1,901018,0,0,3,0.01,0.01,4373.32,0.0,0.0,4370.93,0.0,XAUUSD,STR B4,
1902859677,1788265864,1788265864888,0,0,0,5,0,2,1,901018,0,0,3,0.01,0.01,4361.64,0.0,0.0,4370.65,0.0,XAUUSD,STR S4,
1902859688,1788265865,1788265865004,0,0,0,4,0,2,1,901018,0,0,3,0.01,0.01,4374.78,0.0,0.0,4370.93,0.0,XAUUSD,STR B5,
1902859695,1788265865,1788265865092,0,0,0,5,0,2,1,901018,0,0,3,0.01,0.01,4360.18,0.0,0.0,4370.65,0.0,XAUUSD,STR S5,
1902859703,1788265865,1788265865167,0,0,0,4,0,2,1,901018,0,0,3,0.01,0.01,4376.24,0.0,0.0,4370.93,0.0,XAUUSD,STR B6,
1902859715,1788265865,1788265865268,0,0,0,5,0,2,1,901018,0,0,3,0.01,0.01,4358.72,0.0,0.0,4370.65,0.0,XAUUSD,STR S6,
1902859727,1788265865,1788265865367,0,0,0,4,0,2,1,901018,0,0,3,0.01,0.01,4377.7,0.0,0.0,4370.93,0.0,XAUUSD,STR B7,
1902859739,1788265865,1788265865466,0,0,0,5,0,2,1,901018,0,0,3,0.01,0.01,4357.26,0.0,0.0,4370.65,0.0,XAUUSD,STR S7,
1902859746,1788265865,1788265865567,0,0,0,4,0,2,1,901018,0,0,3,0.01,0.01,4379.16,0.0,0.0,4370.93,0.0,XAUUSD,STR B8,
1902859753,1788265865,1788265865665,0,0,0,5,0,2,1,901018,0,0,3,0.01,0.01,4355.8,0.0,0.0,4370.65,0.0,XAUUSD,STR S8,
1902859767,1788265865,1788265865768,0,0,0,4,0,2,1,901018,0,0,3,0.01,0.01,4380.62,0.0,0.0,4370.93,0.0,XAUUSD,STR B9,
1902859786,1788265865,1788265865872,0,0,0,5,0,2,1,901018,0,0,3,0.01,0.01,4354.34,0.0,0.0,4370.65,0.0,XAUUSD,STR S9,
1902859794,1788265865,1788265865965,0,0,0,4,0,2,1,901018,0,0,3,0.01,0.01,4382.08,0.0,0.0,4370.93,0.0,XAUUSD,STR B10,
1902859812,1788265866,1788265866069,0,0,0,5,0,2,1,901018,0,0,3,0.01,0.01,4352.88,0.0,0.0,4370.65,0.0,XAUUSD,STR S10,
1902859831,1788265866,1788265866166,0,0,0,4,0,2,1,901018,0,0,3,0.06,0.06,4383.54,0.0,0.0,4370.93,0.0,XAUUSD,STR B11,
1902859844,1788265866,1788265866269,0,0,0,5,0,2,1,901018,0,0,3,0.06,0.06,4351.42,0.0,0.0,4370.65,0.0,XAUUSD,STR S11,
1902859849,1788265866,1788265866367,0,0,0,4,0,2,1,901018,0,0,3,0.06,0.06,4385.0,0.0,0.0,4370.93,0.0,XAUUSD,STR B12,
1902859861,1788265866,1788265866464,0,0,0,5,0,2,1,901018,0,0,3,0.06,0.06,4349.96,0.0,0.0,4370.65,0.0,XAUUSD,STR S12,
1902859869,1788265866,1788265866573,0,0,0,4,0,2,1,901018,0,0,3,0.06,0.06,4386.46,0.0,0.0,4370.93,0.0,XAUUSD,STR B13,
1902859874,1788265866,1788265866668,0,0,0,5,0,2,1,901018,0,0,3,0.06,0.06,4348.5,0.0,0.0,4370.65,0.0,XAUUSD,STR S13,
1902859884,1788265866,1788265866767,0,0,0,4,0,2,1,901018,0,0,3,0.06,0.06,4387.92,0.0,0.0,4370.93,0.0,XAUUSD,STR B14,
1902859891,1788265866,1788265866869,0,0,0,5,0,2,1,901018,0,0,3,0.06,0.06,4347.04,0.0,0.0,4370.65,0.0,XAUUSD,STR S14,
1902859899,1788265866,1788265866965,0,0,0,4,0,2,1,901018,0,0,3,0.06,0.06,4389.38,0.0,0.0,4370.93,0.0,XAUUSD,STR B15,
1902859907,1788265867,1788265867068,0,0,0,5,0,2,1,901018,0,0,3,0.06,0.06,4345.58,0.0,0.0,4370.65,0.0,XAUUSD,STR S15,
1902859914,1788265867,1788265867165,0,0,0,4,0,2,1,901018,0,0,3,0.06,0.06,4390.84,0.0,0.0,4370.93,0.0,XAUUSD,STR B16,
1902859929,1788265867,1788265867270,0,0,0,5,0,2,1,901018,0,0,3,0.06,0.06,4344.12,0.0,0.0,4370.65,0.0,XAUUSD,STR S16,
1902860156,1788265867,1788265867434,0,0,0,4,0,2,1,901018,0,0,3,0.06,0.06,4392.3,0.0,0.0,4370.93,0.0,XAUUSD,STR B17,
1902860159,1788265867,1788265867488,0,0,0,5,0,2,1,901018,0,0,3,0.06,0.06,4342.66,0.0,0.0,4370.65,0.0,XAUUSD,STR S17,
1902860194,1788265867,1788265867568,0,0,0,4,0,2,1,901018,0,0,3,0.06,0.06,4393.76,0.0,0.0,4370.93,0.0,XAUUSD,STR B18,
1902860222,1788265867,1788265867676,0,0,0,5,0,2,1,901018,0,0,3,0.06,0.06,4341.2,0.0,0.0,4370.65,0.0,XAUUSD,STR S18,
1902860241,1788265867,1788265867768,0,0,0,4,0,2,1,901018,0,0,3,0.06,0.06,4395.22,0.0,0.0,4370.93,0.0,XAUUSD,STR B19,
1902860283,1788265867,1788265867870,0,0,0,5,0,2,1,901018,0,0,3,0.06,0.06,4339.74,0.0,0.0,4370.65,0.0,XAUUSD,STR S19,
1902860309,1788265867,1788265867970,0,0,0,4,0,2,1,901018,0,0,3,0.06,0.06,4396.68,0.0,0.0,4370.93,0.0,XAUUSD,STR B20,
1902860330,1788265868,1788265868068,0,0,0,5,0,2,1,901018,0,0,3,0.06,0.06,4338.28,0.0,0.0,4370.65,0.0,XAUUSD,STR S20,
1902860343,1788265868,1788265868178,0,0,0,4,0,2,1,901018,0,0,3,0.15,0.15,4398.14,0.0,0.0,4370.93,0.0,XAUUSD,STR B21,
1902860356,1788265868,1788265868264,0,0,0,5,0,2,1,901018,0,0,3,0.15,0.15,4336.82,0.0,0.0,4370.65,0.0,XAUUSD,STR S21,
1902860366,1788265868,1788265868366,0,0,0,4,0,2,1,901018,0,0,3,0.15,0.15,4399.6,0.0,0.0,4370.93,0.0,XAUUSD,STR B22,
1902860380,1788265868,1788265868466,0,0,0,5,0,2,1,901018,0,0,3,0.15,0.15,4335.36,0.0,0.0,4370.65,0.0,XAUUSD,STR S22,
1902860391,1788265868,1788265868564,0,0,0,4,0,2,1,901018,0,0,3,0.15,0.15,4401.06,0.0,0.0,4370.93,0.0,XAUUSD,STR B23,
1902860404,1788265868,1788265868665,0,0,0,5,0,2,1,901018,0,0,3,0.15,0.15,4333.9,0.0,0.0,4370.65,0.0,XAUUSD,STR S23,
1902860415,1788265868,1788265868768,0,0,0,4,0,2,1,901018,0,0,3,0.15,0.15,4402.52,0.0,0.0,4370.93,0.0,XAUUSD,STR B24,
1902860438,1788265868,1788265868864,0,0,0,5,0,2,1,901018,0,0,3,0.15,0.15,4332.44,0.0,0.0,4370.65,0.0,XAUUSD,STR S24,
1902860452,1788265868,1788265868971,0,0,0,4,0,2,1,901018,0,0,3,0.15,0.15,4403.98,0.0,0.0,4370.93,0.0,XAUUSD,STR B25,
1902860464,1788265869,1788265869066,0,0,0,5,0,2,1,901018,0,0,3,0.15,0.15,4330.98,0.0,0.0,4370.65,0.0,XAUUSD,STR S25,
1902860474,1788265869,1788265869167,0,0,0,4,0,2,1,901018,0,0,3,0.15,0.15,4405.44,0.0,0.0,4370.93,0.0,XAUUSD,STR B26,
1902860488,1788265869,1788265869265,0,0,0,5,0,2,1,901018,0,0,3,0.15,0.15,4329.52,0.0,0.0,4370.65,0.0,XAUUSD,STR S26,
1902860504,1788265869,1788265869367,0,0,0,4,0,2,1,901018,0,0,3,0.15,0.15,4406.9,0.0,0.0,4370.93,0.0,XAUUSD,STR B27,
1902860513,1788265869,1788265869464,0,0,0,5,0,2,1,901018,0,0,3,0.15,0.15,4328.06,0.0,0.0,4370.65,0.0,XAUUSD,STR S27,
1902860528,1788265869,1788265869571,0,0,0,4,0,2,1,901018,0,0,3,0.15,0.15,4408.36,0.0,0.0,4370.93,0.0,XAUUSD,STR B28,
1902860654,1788265869,1788265869678,0,0,0,5,0,2,1,901018,0,0,3,0.15,0.15,4326.6,0.0,0.0,4370.65,0.0,XAUUSD,STR S28,
1902860663,1788265869,1788265869768,0,0,0,4,0,2,1,901018,0,0,3,0.15,0.15,4409.82,0.0,0.0,4370.93,0.0,XAUUSD,STR B29,
1902860688,1788265869,1788265869880,0,0,0,5,0,2,1,901018,0,0,3,0.15,0.15,4325.14,0.0,0.0,4370.65,0.0,XAUUSD,STR S29,
1902860697,1788265869,1788265869965,0,0,0,4,0,2,1,901018,0,0,3,0.15,0.15,4411.28,0.0,0.0,4370.93,0.0,XAUUSD,STR B30,
1902860709,1788265870,1788265870065,0,0,0,5,0,2,1,901018,0,0,3,0.15,0.15,4323.68,0.0,0.0,4370.65,0.0,XAUUSD,STR S30,
