ticket,time,time_msc,time_update,time_update_msc,type,magic,identifier,reason,volume,price_open,sl,tp,price_current,swap,profit,symbol,comment,external_id
1902756430,1788265138,1788265138467,1788265138,1788265138467,1,901018,1902756430,3,0.01,4375.66,0.0,0.0,4370.93,0.0,4.73,XAUUSD,STR S1,
1902756438,1788265514,1788265514627,1788265514,1788265514627,1,901018,1902756438,3,0.01,4374.2,0.0,0.0,4370.93,0.0,3.27,XAUUSD,STR S2,
1902756450,1788265558,1788265558453,1788265558,1788265558453,1,901018,1902756450,3,0.01,4372.74,0.0,0.0,4370.93,0.0,1.81,XAUUSD,STR S3,
1902756457,1788265624,1788265624380,1788265624,1788265624380,1,901018,1902756457,3,0.01,4371.28,0.0,0.0,4370.93,0.0,0.35,XAUUSD,STR S4,
1902756481,1788265841,1788265841767,1788265841,1788265841767,1,901018,1902756481,3,0.01,4368.36,0.0,0.0,4370.93,0.0,-2.57,XAUUSD,STR S6,
1902756489,1788265858,1788265858615,1788265858,1788265858615,1,901018,1902756489,3,0.01,4366.9,0.0,0.0,4370.93,0.0,-4.03,XAUUSD,STR S7,
1902762001,1788265169,1788265169086,1788265169,1788265169086,1,901018,1902762001,3,0.01,4375.66,0.0,0.0,4370.93,0.0,4.73,XAUUSD,STR S1,
1902763721,1788265196,1788265196447,1788265196,1788265196447,1,901018,1902763721,3,0.01,4375.66,0.0,0.0,4370.93,0.0,4.73,XAUUSD,STR S1,
1902767000,1788265225,1788265225320,1788265225,1788265225320,1,901018,1902767000,3,0.01,4375.66,0.0,0.0,4370.93,0.0,4.73,XAUUSD,STR S1,
1902771728,1788265241,1788265241930,1788265241,1788265241930,1,901018,1902771728,3,0.01,4375.66,0.0,0.0,4370.93,0.0,4.73,XAUUSD,STR S1,
1902776189,1788265269,1788265269811,1788265269,1788265269811,1,901018,1902776189,3,0.01,4375.66,0.0,0.0,4370.93,0.0,4.73,XAUUSD,STR S1,
1902779780,1788265296,1788265296418,1788265296,1788265296418,1,901018,1902779780,3,0.01,4375.66,0.0,0.0,4370.93,0.0,4.73,XAUUSD,STR S1,
1902780762,1788265310,1788265310461,1788265310,1788265310461,1,901018,1902780762,3,0.01,4375.66,0.0,0.0,4370.93,0.0,4.73,XAUUSD,STR S1,
1902781545,1788265319,1788265319723,1788265319,1788265319723,1,901018,1902781545,3,0.01,4375.66,0.0,0.0,4370.93,0.0,4.73,XAUUSD,STR S1,
1902806041,1788265517,1788265517783,1788265517,1788265517783,1,901018,1902806041,3,0.01,4374.2,0.0,0.0,4370.93,0.0,3.27,XAUUSD,STR S2,
1902812248,1788265563,1788265563428,1788265563,1788265563428,1,901018,1902812248,3,0.01,4372.74,0.0,0.0,4370.93,0.0,1.81,XAUUSD,STR S3,
1902814030,1788265569,1788265569727,1788265569,1788265569727,1,901018,1902814030,3,0.01,4372.74,0.0,0.0,4370.93,0.0,1.81,XAUUSD,STR S3,
1902817075,1788265581,1788265581146,1788265581,1788265581146,1,901018,1902817075,3,0.01,4372.74,0.0,0.0,4370.93,0.0,1.81,XAUUSD,STR S3,
1902818390,1788265587,1788265587928,1788265587,1788265587928,1,901018,1902818390,3,0.01,4372.74,0.0,0.0,4370.93,0.0,1.81,XAUUSD,STR S3,
1902818813,1788265596,1788265596438,1788265596,1788265596438,1,901018,1902818813,3,0.01,4372.74,0.0,0.0,4370.93,0.0,1.81,XAUUSD,STR S3,
1902824640,1788265632,1788265632547,1788265632,1788265632547,1,901018,1902824640,3,0.01,4371.28,0.0,0.0,4370.93,0.0,0.35,XAUUSD,STR S4,
1902825846,1788265670,1788265670117,1788265670,1788265670117,1,901018,1902825846,3,0.01,4371.28,0.0,0.0,4370.93,0.0,0.35,XAUUSD,STR S4,
1902829128,1788265674,1788265674157,1788265674,1788265674157,1,901018,1902829128,3,0.01,4371.28,0.0,0.0,4370.93,0.0,0.35,XAUUSD,STR S4,
