============================================================================================================
CYCLE 252  start=2026-07-28 20:34:12.155000  first_close=2026-07-29 19:42:06.984000  anchor=4024.77 step=1.3400
  positions=160  flatten_closes=11  realized=632.83
============================================================================================================
  time                     market      real      float      TOTAL  op  armed  dist_st    $/pt
  07-29 18:55:33          4028.83    650.72    -276.62     374.10  12     37     3.03    22.0  <<< TOTAL>=30  (+268s)
  07-29 18:56:02          4028.84    653.43    -279.27     374.16  11     37     3.04    21.0  <<< TOTAL>=30  (+29s)
  07-29 18:56:40          4031.60    653.43    -265.47     387.96  12     33     5.10    22.0  <<< TOTAL>=30  (+38s)
  07-29 18:57:15          4031.22    657.08    -271.40     385.68  11     36     4.81    21.0  <<< TOTAL>=30  (+35s)
  07-29 18:57:35          4030.37    658.62    -277.19     381.43  10     36     4.18    20.0  <<< TOTAL>=30  (+20s)
  07-29 19:00:09          4028.89    658.62    -283.11     375.51  11     36     3.07    21.0  <<< TOTAL>=30  (+154s)
  07-29 19:02:01          4031.51    661.24    -272.63     388.61  10     36     5.03    20.0  <<< TOTAL>=30  (+112s)
  07-29 19:02:51          4030.30    661.25    -277.48     383.77   9     36     4.13    19.0  <<< TOTAL>=30  (+49s)
  07-29 19:05:05          4036.00    664.43    -263.56     400.87   8     36     8.38    18.0  <<< TOTAL>=30  (+134s)
  07-29 19:05:25          4035.70    668.53    -268.26     400.27   7     36     8.16    17.0  <<< TOTAL>=30  (+20s)
  07-29 19:06:31          4038.20    668.53    -265.76     402.77   8     35    10.02    19.0  <<< TOTAL>=30  (+66s)
  07-29 19:06:51          4040.04    668.53    -260.24     408.29   9     34    11.40    31.0  <<< TOTAL>=30  (+20s)
  07-29 19:07:51          4038.98    671.89    -279.50     392.39   8     34    10.60    30.0  <<< TOTAL>=30  (+59s)
  07-29 19:08:11          4039.58    677.17    -276.38     400.79   7     34    11.05    29.0  <<< TOTAL>=30  (+20s)
  07-29 19:09:11          4039.79    680.09    -276.57     403.52   6     34    11.21    28.0  <<< TOTAL>=30  (+60s)
  07-29 19:10:00          4037.77    679.23    -299.95     379.28   5     34     9.70    26.0  <<< TOTAL>=30  (+49s)
  07-29 19:12:01          4042.23    679.23    -255.35     423.88   6     33    13.03    38.0  <<< TOTAL>=30  (+120s)
  07-29 19:12:43          4043.54    679.23    -226.53     452.70   7     32    14.01    50.0  <<< TOTAL>=30  (+42s)
  07-29 19:13:03          4044.88    679.23    -180.97     498.26   8     31    15.01    62.0  <<< TOTAL>=30  (+20s)
  07-29 19:13:23          4047.49    679.23     -60.91     618.32   9     30    16.96    74.0  <<< TOTAL>=30  (+20s)
  07-29 19:14:03          4047.90    679.23     -37.13     642.10  10     28    17.26    86.0  <<< TOTAL>=30  (+40s)
  07-29 19:14:23          4047.15    679.23     -89.63     589.60  11     27    16.70    98.0  <<< TOTAL>=30  (+20s)
  07-29 19:14:43          4041.94    702.03    -539.65     162.38  10     27    12.81    86.0  <<< TOTAL>=30  (+20s)
  07-29 19:15:03          4042.60    690.75    -482.17     208.58   9     27    13.31    74.0  <<< TOTAL>=30  (+20s)
  07-29 19:15:23          4041.22    690.75    -562.21     128.54  10     27    12.28    86.0  <<< TOTAL>=30  (+20s)
  07-29 19:15:43          4043.40    705.63    -424.49     281.14   9     27    13.90    80.0  <<< TOTAL>=30  (+20s)
  07-29 19:16:03          4044.33    742.95    -402.29     340.66   8     27    14.60    68.0  <<< TOTAL>=30  (+20s)
  07-29 19:17:44          4044.83    742.35    -375.69     366.66   7     27    14.97    56.0  <<< TOTAL>=30  (+101s)
  07-29 19:23:03          4048.71    820.11    -298.25     521.86   6     27    17.87    44.0  <<< TOTAL>=30  (+318s)
  07-29 19:24:02          4047.38    818.79    -334.17     484.62   5     27    16.87    32.0  <<< TOTAL>=30  (+59s)
  07-29 19:24:22          4046.87    815.43    -338.97     476.46   4     27    16.49    20.0  <<< TOTAL>=30  (+20s)
  07-29 19:25:33          4046.23    815.43    -341.53     473.90   5     28    16.01    32.0  <<< TOTAL>=30  (+71s)
  07-29 19:25:53          4043.95    815.43    -378.01     437.42   6     28    14.31    44.0  <<< TOTAL>=30  (+20s)
  07-29 19:27:38          4043.55    815.43    -389.21     426.22   7     28    14.01    56.0  <<< TOTAL>=30  (+105s)
  07-29 19:29:06          4038.23    815.43    -602.01     213.42   8     31    10.04    58.0  <<< TOTAL>=30  (+87s)
  07-29 19:29:46          4039.57    815.43    -545.73     269.70   9     30    11.04    70.0  <<< TOTAL>=30  (+41s)
  07-29 19:32:14          4040.86    815.43    -476.07     339.36  10     29    12.01    82.0  <<< TOTAL>=30  (+148s)
  07-29 19:33:21          4039.08    817.13    -595.25     221.88   9     29    10.68    80.0  <<< TOTAL>=30  (+67s)
  07-29 19:36:29          4038.19    817.13    -652.21     164.92  10     29    10.01    82.0  <<< TOTAL>=30  (+188s)
  07-29 19:40:10          4042.33    817.13    -378.97     438.16  11     29    13.10    94.0  <<< TOTAL>=30  (+221s)
  07-29 19:42:06          4043.98    828.71    -261.85     566.86  10      0    14.34    92.0  <<< TOTAL>=30  (+117s)

