============================================================================================================
CYCLE 252  start=2026-07-28 20:34:12.155000  first_close=2026-07-29 19:42:06.984000  anchor=4024.77 step=1.3400
  positions=160  flatten_closes=11  realized=632.83
============================================================================================================
  time                     market      real      float      TOTAL  op  armed  dist_st    $/pt
  07-29 03:26:22          4016.73     60.31     -59.91       0.40   9     46    -6.00     9.0  (+36s)
  07-29 03:28:47          4018.07     60.31     -61.25      -0.94  10     46    -5.00    10.0  (+145s)
  07-29 03:30:27          4018.04     60.34     -61.22      -0.88   9     46    -5.02     9.0  (+100s)
  07-29 03:31:05          4018.06     60.34     -61.24      -0.90  10     46    -5.01    10.0  (+38s)
  07-29 03:32:05          4020.75     60.34     -66.62      -6.28  11     47    -3.00    11.0  (+60s)
  07-29 03:33:41          4018.74     60.34     -60.59      -0.25  12     46    -4.50    12.0  (+96s)
  07-29 03:35:03          4022.95     60.34     -77.43     -17.09  13     47    -1.36    13.0  (+82s)
  07-29 03:39:49          4028.52     62.73    -107.67     -44.94  12     47     2.80    12.0  (+286s)
  07-29 03:42:11          4027.64     62.88    -102.54     -39.66  11     47     2.14    11.0  (+142s)
  07-29 03:43:51          4027.55     62.88    -101.91     -39.03  12     47     2.07    12.0  (+100s)
  07-29 03:47:41          4026.11     62.88     -93.27     -30.39  13     47     1.00    13.0  (+230s)
  07-29 03:53:40          4021.92     62.88     -72.32      -9.44  14     46    -2.13    14.0  (+359s)
  07-29 04:06:18          4026.42     63.19     -99.63     -36.44  13     46     1.23    13.0  (+758s)
  07-29 04:09:35          4026.11     63.19     -97.46     -34.27  14     46     1.00    14.0  (+197s)
  07-29 04:18:22          4027.09     64.17    -104.32     -40.15  13     46     1.73    13.0  (+527s)
  07-29 04:22:29          4031.49     64.17    -135.12     -70.95  14     45     5.01    14.0  (+247s)
  07-29 04:22:49          4033.29     64.17    -145.92     -81.75  15     44     6.36    15.0  (+20s)
  07-29 04:24:03          4034.45     64.17    -151.72     -87.55  16     43     7.22    16.0  (+74s)
  07-29 04:24:47          4035.52     64.17    -156.00     -91.83  17     42     8.02    17.0  (+44s)
  07-29 04:25:07          4032.90     67.34    -152.22     -84.88  16     42     6.07    16.0  (+20s)
  07-29 04:25:27          4034.76     71.06    -164.29     -93.23  15     42     7.46    15.0  (+20s)
  07-29 04:25:47          4034.76     78.27    -171.50     -93.23  14     42     7.46    14.0  (+20s)
  07-29 04:26:41          4032.35     79.13    -157.90     -78.77  13     42     5.66    13.0  (+54s)
  07-29 04:30:37          4036.91     79.13    -189.82    -110.69  14     41     9.06    14.0  (+236s)
  07-29 04:31:04          4033.80     79.64    -171.67     -92.03  13     41     6.74    13.0  (+27s)
  07-29 04:33:42          4031.57     79.64    -156.06     -76.42  14     42     5.07    14.0  (+158s)
  07-29 04:36:25          4032.88     79.64    -163.92     -84.28  15     41     6.05    15.0  (+162s)
  07-29 04:42:02          4036.34     83.10    -184.68    -101.58  14     41     8.63    14.0  (+337s)
  07-29 04:42:22          4035.52     87.05    -183.71     -96.66  13     41     8.02    13.0  (+20s)
  07-29 04:42:42          4034.94     87.54    -180.14     -92.60  12     41     7.59    12.0  (+20s)
  07-29 04:46:37          4034.16     87.54    -173.90     -86.36  13     41     7.01    13.0  (+235s)
  07-29 04:50:22          4032.83     87.54    -164.59     -77.05  14     41     6.01    14.0  (+225s)
  07-29 04:53:24          4030.28     87.54    -149.29     -61.75  15     42     4.11    15.0  (+182s)
  07-29 04:55:01          4031.77     87.54    -156.74     -69.20  16     41     5.22    16.0  (+97s)
  07-29 05:16:16          4027.46     87.54    -139.50     -51.96  17     42     2.01    17.0  (+1275s)
  07-29 05:18:50          4028.79     87.54    -143.49     -55.95  18     41     3.00    18.0  (+154s)
  07-29 05:31:49          4026.18     87.54    -138.27     -50.73  19     41     1.05    19.0  (+778s)
  07-29 05:40:37          4026.77     88.13    -139.45     -51.32  18     41     1.49    18.0  (+529s)
  07-29 05:41:52          4026.31     88.13    -138.53     -50.40  19     41     1.15    19.0  (+74s)
  07-29 07:14:13          4030.15     90.82    -145.06     -54.24  18     41     4.01    18.0  (+5541s)
  07-29 07:14:34          4030.31     94.82    -149.38     -54.56  17     41     4.13    17.0  (+21s)
  07-29 07:15:25          4028.91     94.94    -145.30     -50.36  16     41     3.09    16.0  (+51s)
  07-29 07:20:54          4028.84     94.94    -145.02     -50.08  17     41     3.04    17.0  (+329s)
  07-29 07:30:06          4031.81     97.91    -156.90     -58.99  16     41     5.25    16.0  (+553s)
  07-29 07:31:53          4031.12     98.75    -154.98     -56.23  15     41     4.74    15.0  (+107s)
  07-29 07:44:48          4038.17     98.75    -190.23     -91.48  16     40    10.00    16.0  (+775s)
  07-29 07:45:08          4039.29     98.75    -194.71     -95.96  17     39    10.84    22.0  (+20s)
  07-29 07:45:54          4036.92    101.51    -202.21    -100.70  16     39     9.07    21.0  (+46s)
  07-29 07:46:14          4037.06    105.74    -206.30    -100.56  15     39     9.17    20.0  (+20s)
  07-29 07:46:33          4036.40    110.37    -210.93    -100.56  14     39     8.68    19.0  (+20s)
  07-29 07:46:54          4035.97    110.82    -210.95    -100.13  13     39     8.36    18.0  (+20s)
  07-29 07:48:20          4035.58    110.82    -210.17     -99.35  14     39     8.07    19.0  (+87s)
  07-29 07:50:08          4034.63    110.82    -209.22     -98.40  15     39     7.36    20.0  (+108s)
  07-29 07:57:11          4032.84    110.82    -209.22     -98.40  16     39     6.02    21.0  (+422s)
  07-29 08:01:33          4035.92    113.90    -209.22     -95.32  15     39     8.32    20.0  (+263s)
  07-29 08:02:05          4034.63    113.90    -209.22     -95.32  14     39     7.36    19.0  (+32s)
  07-29 08:19:12          4038.44    116.76    -215.89     -99.13  13     39    10.20    18.0  (+1027s)
  07-29 08:20:20          4037.30    117.15    -214.00     -96.85  12     39     9.35    17.0  (+69s)
  07-29 08:22:54          4036.85    117.15    -212.65     -95.50  13     39     9.01    18.0  (+153s)
  07-29 08:24:32          4040.89    117.15    -220.73    -103.58  14     38    12.03    24.0  (+99s)
