row,open_time,position_id,symbol,side,volume,open_price,stop_loss,take_profit,close_time,close_price,commission,swap,profit,comment
8,2026-06-23 16:17:39.674000,20175420,XAUUSD,sell,0.01,4135.8,4135.53,,2026-06-23 16:18:34.403000,4135.53,0.0,0.0,0.27,STR S1
9,2026-06-23 16:18:10.398000,20175422,XAUUSD,sell,0.01,4134.63,4133.7,,2026-06-23 16:27:05.043000,4133.7,0.0,0.0,0.93,STR S2
10,2026-06-23 16:18:20.298000,20175424,XAUUSD,sell,0.01,4133.64,4131.32,,2026-06-23 16:28:48.974000,4131.32,0.0,0.0,2.32,STR S3
11,2026-06-23 16:18:44.504000,20175523,XAUUSD,sell,0.01,4135.84,4133.7,,2026-06-23 16:27:05.043000,4133.7,0.0,0.0,2.14,STR S1
12,2026-06-23 16:19:09.167000,20175419,XAUUSD,buy,0.01,4138.05,4139.83,,2026-06-23 16:20:34.834000,4139.54,0.0,0.0,1.49,STR B1
13,2026-06-23 16:19:26.833000,20175421,XAUUSD,buy,0.01,4139.39,4139.78,,2026-06-23 16:20:34.834000,4139.54,0.0,0.0,0.15,STR B2
14,2026-06-23 16:19:28.349000,20175423,XAUUSD,buy,0.01,4140.31,4140.57,,2026-06-23 16:23:51.727000,4140.47,0.0,0.0,0.16,STR B3
15,2026-06-23 16:19:34.187000,20175425,XAUUSD,buy,0.01,4141.51,4141.75,,2026-06-23 18:45:49.182000,4141.45,0.0,0.0,-0.06,STR B4
16,2026-06-23 16:23:05.671000,20175536,XAUUSD,buy,0.01,4138.05,4140.57,,2026-06-23 16:23:51.728000,4140.47,0.0,0.0,2.42,STR B1
17,2026-06-23 16:23:17.015000,20175535,XAUUSD,buy,0.01,4139.28,4140.57,,2026-06-23 16:23:51.727000,4140.47,0.0,0.0,1.19,STR B2
18,2026-06-23 16:23:42.200000,20175427,XAUUSD,buy,0.01,4142.47,,,2026-06-23 20:47:06.020000,4113.76,0.0,0.0,-28.71,STR B5
19,2026-06-23 16:24:04.030000,20175545,XAUUSD,buy,0.01,4139.22,4139.25,,2026-06-23 17:44:37.447000,4139.17,0.0,0.0,-0.05,STR B2
20,2026-06-23 16:24:20.294000,20175546,XAUUSD,buy,0.01,4138.04,4139.25,,2026-06-23 17:44:37.448000,4139.17,0.0,0.0,1.13,STR B1
21,2026-06-23 16:26:14.348000,20175426,XAUUSD,sell,0.01,4132.53,4131.32,,2026-06-23 16:28:48.975000,4131.32,0.0,0.0,1.21,STR S4
22,2026-06-23 16:26:21.690000,20175428,XAUUSD,sell,0.01,4131.13,4129.58,,2026-06-23 16:33:35.435000,4129.68,0.0,0.0,1.45,STR S5
23,2026-06-23 16:27:48.578000,20175430,XAUUSD,sell,0.01,4130.27,4129.58,,2026-06-23 16:33:35.436000,4129.68,0.0,0.0,0.59,STR S6
24,2026-06-23 16:28:05.494000,20175432,XAUUSD,sell,0.01,4129.22,4127.19,,2026-06-23 16:34:56.579000,4127.19,0.0,0.0,2.03,STR S7
25,2026-06-23 16:31:29.977000,20175434,XAUUSD,sell,0.01,4128.13,4127.19,,2026-06-23 16:34:56.579000,4127.19,0.0,0.0,0.94,STR S8
26,2026-06-23 16:33:58.694000,20175436,XAUUSD,sell,0.01,4126.92,4125.5,,2026-06-23 16:40:03.773000,4125.58,0.0,0.0,1.34,STR S9
27,2026-06-23 16:34:04.262000,20175438,XAUUSD,sell,0.01,4125.47,4125.08,,2026-06-23 20:09:06.680000,4125.09,0.0,0.0,0.38,STR S10
28,2026-06-23 16:34:05.056000,20175440,XAUUSD,sell,0.01,4124.67,4121.6,,2026-06-23 20:31:36.492000,4121.61,0.0,0.0,3.06,STR S11
29,2026-06-23 16:36:10.935000,20175624,XAUUSD,sell,0.01,4128.1,4125.5,,2026-06-23 16:40:03.773000,4125.58,0.0,0.0,2.52,STR S8
30,2026-06-23 16:38:47.370000,20175442,XAUUSD,sell,0.01,4123.72,4121.62,,2026-06-23 20:31:37.653000,4121.65,0.0,0.0,2.07,STR S12
31,2026-06-23 16:43:22.863000,20175633,XAUUSD,sell,0.01,4126.67,4126.26,,2026-06-23 16:50:44.675000,4126.28,0.0,0.0,0.39,STR S9
32,2026-06-23 16:43:45.465000,20175635,XAUUSD,sell,0.01,4128.09,4126.96,,2026-06-23 16:45:11.991000,4127.05,0.0,0.0,1.04,STR S8
33,2026-06-23 16:51:29.769000,20175642,XAUUSD,sell,0.01,4129.24,4129.1,,2026-06-23 16:55:45.321000,4129.1,0.0,0.0,0.14,STR S7
34,2026-06-23 16:51:39.235000,20175641,XAUUSD,sell,0.01,4128.13,4127.79,,2026-06-23 16:57:23.618000,4127.88,0.0,0.0,0.25,STR S8
35,2026-06-23 16:54:14.668000,20175639,XAUUSD,sell,0.01,4127.02,4126.27,,2026-06-23 17:10:03.476000,4126.41,0.0,0.0,0.61,STR S9
36,2026-06-23 16:58:06.852000,20175645,XAUUSD,sell,0.01,4128.11,4126.27,,2026-06-23 17:10:03.477000,4126.41,0.0,0.0,1.7,STR S8
37,2026-06-23 16:59:36.166000,20175646,XAUUSD,sell,0.01,4128.98,4126.27,,2026-06-23 17:10:03.477000,4126.41,0.0,0.0,2.57,STR S7
38,2026-06-23 17:00:38.328000,20175649,XAUUSD,sell,0.01,4131.33,4126.1,,2026-06-23 17:10:03.477000,4126.41,0.0,0.0,4.92,STR S5
39,2026-06-23 17:00:54.706000,20175647,XAUUSD,sell,0.01,4130.23,4126.27,,2026-06-23 17:10:03.477000,4126.41,0.0,0.0,3.82,STR S6
40,2026-06-23 17:01:23.661000,20175652,XAUUSD,sell,0.01,4133.63,4126.27,,2026-06-23 17:10:03.477000,4126.41,0.0,0.0,7.22,STR S3
41,2026-06-23 17:01:33.132000,20175651,XAUUSD,sell,0.01,4132.46,4126.26,,2026-06-23 17:10:03.477000,4126.41,0.0,0.0,6.05,STR S4
42,2026-06-23 17:05:08.121000,20175655,XAUUSD,sell,0.01,4134.7,4126.27,,2026-06-23 17:10:03.477000,4126.41,0.0,0.0,8.29,STR S2
43,2026-06-23 17:11:43.733000,20175695,XAUUSD,sell,0.01,4126.52,4126.38,,2026-06-23 17:26:01.818000,4126.4,0.0,0.0,0.12,STR S9
44,2026-06-23 17:15:10.645000,20175696,XAUUSD,sell,0.01,4128.14,4126.38,,2026-06-23 17:26:01.819000,4126.4,0.0,0.0,1.74,STR S8
45,2026-06-23 17:17:09.345000,20175697,XAUUSD,sell,0.01,4129.22,4126.38,,2026-06-23 17:26:01.819000,4126.4,0.0,0.0,2.82,STR S7
46,2026-06-23 17:27:01.407000,20175723,XAUUSD,sell,0.01,4126.88,4126.04,,2026-06-23 20:10:02.007000,4126.06,0.0,0.0,0.82,STR S9
47,2026-06-23 17:31:30.101000,20175725,XAUUSD,sell,0.01,4129.24,4126.04,,2026-06-23 20:10:02.008000,4126.06,0.0,0.0,3.18,STR S7
48,2026-06-23 17:33:14.899000,20175730,XAUUSD,sell,0.01,4134.6,4133.98,,2026-06-23 18:59:09.492000,4134.2,0.0,0.0,0.4,STR S2
49,2026-06-23 17:33:39.475000,20175729,XAUUSD,sell,0.01,4133.64,4133.12,,2026-06-23 19:01:12.720000,4133.3,0.0,0.0,0.34,STR S3
50,2026-06-23 17:38:11.211000,20175760,XAUUSD,sell,0.01,4135.64,4135.41,,2026-06-23 18:18:24.609000,4135.51,0.0,0.0,0.13,STR S1
51,2026-06-23 17:42:31.311000,20175544,XAUUSD,buy,0.01,4140.25,4140.68,,2026-06-23 18:38:09.738000,4140.68,0.0,0.0,0.43,STR B3
52,2026-06-23 17:45:00.120000,20175801,XAUUSD,buy,0.01,4139.17,4140.68,,2026-06-23 18:38:09.738000,4140.68,0.0,0.0,1.51,STR B2
53,2026-06-23 17:54:27.347000,20175802,XAUUSD,buy,0.01,4138.06,4140.68,,2026-06-23 18:38:09.738000,4140.68,0.0,0.0,2.62,STR B1
54,2026-06-23 18:24:13.504000,20175810,XAUUSD,sell,0.01,4135.76,4133.99,,2026-06-23 18:59:09.492000,4134.2,0.0,0.0,1.56,STR S1
55,2026-06-23 18:44:37.072000,20175429,XAUUSD,buy,0.01,4143.58,,,2026-06-23 20:47:05.922000,4113.76,0.0,0.0,-29.82,STR B6
56,2026-06-23 18:47:37.185000,20175822,XAUUSD,buy,0.01,4140.51,,,2026-06-23 20:47:05.033000,4113.92,0.0,0.0,-26.59,STR B3
57,2026-06-23 18:57:13.383000,20175728,XAUUSD,sell,0.01,4132.26,4130.05,,2026-06-23 19:33:03.974000,4130.05,0.0,0.0,2.21,STR S4
58,2026-06-23 18:59:32.283000,20175830,XAUUSD,sell,0.01,4134.65,4133.12,,2026-06-23 19:01:12.720000,4133.3,0.0,0.0,1.35,STR S2
59,2026-06-23 19:00:38.856000,20175727,XAUUSD,sell,0.01,4131.44,4130.05,,2026-06-23 19:33:03.974000,4130.05,0.0,0.0,1.39,STR S5
60,2026-06-23 19:08:21.679000,20175834,XAUUSD,sell,0.01,4133.16,4132.34,,2026-06-23 19:09:36.096000,4132.41,0.0,0.0,0.75,STR S3
61,2026-06-23 19:09:01.373000,20175726,XAUUSD,sell,0.01,4130.28,4130.05,,2026-06-23 19:33:03.973000,4130.05,0.0,0.0,0.23,STR S6
62,2026-06-23 19:12:55.354000,20175825,XAUUSD,buy,0.01,4138.05,,,2026-06-23 20:47:04.834000,4113.93,0.0,0.0,-24.12,STR B1
63,2026-06-23 19:13:01.156000,20175824,XAUUSD,buy,0.01,4139.18,,,2026-06-23 20:47:04.933000,4113.93,0.0,0.0,-25.25,STR B2
64,2026-06-23 19:17:35.954000,20175841,XAUUSD,sell,0.01,4135.7,4132.28,,2026-06-23 19:28:03.704000,4132.37,0.0,0.0,3.33,STR S1
65,2026-06-23 19:24:15.298000,20175840,XAUUSD,sell,0.01,4134.74,4132.3,,2026-06-23 19:28:03.703000,4132.37,0.0,0.0,2.37,STR S2
66,2026-06-23 19:24:49.889000,20175839,XAUUSD,sell,0.01,4133.62,4132.3,,2026-06-23 19:28:03.703000,4132.37,0.0,0.0,1.25,STR S3
67,2026-06-23 19:32:13.666000,20175724,XAUUSD,sell,0.01,4128.14,4126.03,,2026-06-23 20:10:02.008000,4126.06,0.0,0.0,2.08,STR S8
68,2026-06-23 19:39:35.377000,20175854,XAUUSD,sell,0.01,4130.3,4129.77,,2026-06-23 20:00:48.782000,4129.81,0.0,0.0,0.49,STR S6
69,2026-06-23 19:45:05.006000,20175855,XAUUSD,sell,0.01,4131.43,4129.77,,2026-06-23 20:00:48.783000,4129.81,0.0,0.0,1.62,STR S5
70,2026-06-23 19:47:21.580000,20175856,XAUUSD,sell,0.01,4131.62,4129.77,,2026-06-23 20:00:48.783000,4129.81,0.0,0.0,1.81,STR S4
71,2026-06-23 20:01:20.145000,20175860,XAUUSD,sell,0.01,4130.3,4126.04,,2026-06-23 20:10:02.008000,4126.06,0.0,0.0,4.24,STR S6
72,2026-06-23 20:23:53.041000,20175444,XAUUSD,sell,0.01,4122.64,4121.62,,2026-06-23 20:31:37.653000,4121.65,0.0,0.0,0.99,STR S13
73,2026-06-23 20:25:23.137000,20175446,XAUUSD,sell,0.01,4121.51,4116.38,,2026-06-23 20:47:05.824000,4114.08,0.0,0.0,7.43,STR S14
74,2026-06-23 20:30:03.464000,20175448,XAUUSD,sell,0.01,4120.43,4116.49,,2026-06-23 20:47:05.725000,4114.12,0.0,0.0,6.31,STR S15
75,2026-06-23 20:40:37.104000,20175450,XAUUSD,sell,0.03,4119.27,4116.49,,2026-06-23 20:47:05.628000,4114.12,0.0,0.0,15.45,STR S16
76,2026-06-23 20:41:06.704000,20175452,XAUUSD,sell,0.03,4118.18,4116.49,,2026-06-23 20:47:05.528000,4114.26,0.0,0.0,11.76,STR S17
77,2026-06-23 20:42:37.413000,20175454,XAUUSD,sell,0.03,4117.1,4116.49,,2026-06-23 20:47:05.430000,4114.26,0.0,0.0,8.52,STR S18
78,2026-06-23 20:44:55.657000,20175456,XAUUSD,sell,0.03,4116.03,,,2026-06-23 20:47:05.330000,4114.25,0.0,0.0,5.34,STR S19
79,2026-06-23 20:46:02.514000,20175458,XAUUSD,sell,0.03,4114.93,,,2026-06-23 20:47:05.232000,4114.24,0.0,0.0,2.07,STR S20
80,2026-06-23 20:47:00.046000,20175460,XAUUSD,sell,0.03,4113.84,,,2026-06-23 20:47:05.132000,4114.24,0.0,0.0,-1.2,STR S21
81,2026-06-23 20:47:20.180000,20175939,XAUUSD,buy,0.01,4114.38,4115.46,,2026-06-23 20:52:48.498000,4115.4,0.0,0.0,1.02,STR B1
82,2026-06-23 20:48:12.228000,20175941,XAUUSD,buy,0.01,4115.38,4115.46,,2026-06-23 20:52:48.499000,4115.4,0.0,0.0,0.02,STR B2
83,2026-06-23 20:50:20.154000,20175943,XAUUSD,buy,0.01,4116.08,4119.5,,2026-06-23 21:01:53.118000,4121.9,0.0,0.0,5.82,STR B3
84,2026-06-23 20:50:45.563000,20175945,XAUUSD,buy,0.01,4117.0,4119.5,,2026-06-23 21:01:53.018000,4122.02,0.0,0.0,5.02,STR B4
85,2026-06-23 20:53:26.250000,20176042,XAUUSD,buy,0.01,4115.21,4119.5,,2026-06-23 21:01:52.319000,4122.03,0.0,0.0,6.82,STR B2
86,2026-06-23 20:59:05.194000,20175947,XAUUSD,buy,0.01,4117.87,4119.5,,2026-06-23 21:01:52.919000,4122.02,0.0,0.0,4.15,STR B5
87,2026-06-23 21:00:43.258000,20175949,XAUUSD,buy,0.01,4118.7,4119.5,,2026-06-23 21:01:52.820000,4122.02,0.0,0.0,3.32,STR B6
88,2026-06-23 21:01:13.468000,20175951,XAUUSD,buy,0.01,4119.58,,,2026-06-23 21:01:52.717000,4122.03,0.0,0.0,2.45,STR B7
89,2026-06-23 21:01:25.371000,20175953,XAUUSD,buy,0.01,4120.54,,,2026-06-23 21:01:52.618000,4122.03,0.0,0.0,1.49,STR B8
90,2026-06-23 21:01:39.034000,20175955,XAUUSD,buy,0.01,4121.4,,,2026-06-23 21:01:52.517000,4122.03,0.0,0.0,0.63,STR B9
91,2026-06-23 21:01:46.490000,20175957,XAUUSD,buy,0.01,4122.18,,,2026-06-23 21:01:52.417000,4122.03,0.0,0.0,-0.15,STR B10
92,2026-06-23 21:02:28.699000,20176052,XAUUSD,buy,0.01,4122.47,4124.2,,2026-06-23 21:06:09.747000,4124.18,0.0,0.0,1.71,STR B1
93,2026-06-23 21:03:12.278000,20176054,XAUUSD,buy,0.01,4123.37,4124.2,,2026-06-23 21:06:09.747000,4124.18,0.0,0.0,0.81,STR B2
94,2026-06-23 21:04:10.856000,20176056,XAUUSD,buy,0.01,4124.11,4124.2,,2026-06-23 21:06:09.748000,4124.18,0.0,0.0,0.07,STR B3
95,2026-06-23 21:05:20.490000,20176058,XAUUSD,buy,0.01,4125.11,,,2026-06-24 00:34:30.884000,4098.67,0.0,-0.91,-26.44,STR B4
