row,open_time,order_id,symbol,order_type,volume,filled_volume,price,stop_loss,take_profit,end_time,state,comment
107844,2026-07-30 17:12:10.002000,20961472,XAUUSD,sell stop,0.01,0.0,4082.11,,,,placed,STR S4
107845,2026-07-30 17:12:10.204000,20961474,XAUUSD,sell stop,0.01,0.0,4080.75,,,,placed,STR S5
107846,2026-07-30 17:12:10.403000,20961476,XAUUSD,sell stop,0.01,0.0,4079.39,,,,placed,STR S6
107847,2026-07-30 17:12:10.601000,20961478,XAUUSD,sell stop,0.01,0.0,4078.03,,,,placed,STR S7
107848,2026-07-30 17:12:10.704000,20961479,XAUUSD,buy stop,0.01,0.0,4098.43,,,,placed,STR B8
107849,2026-07-30 17:12:10.804000,20961480,XAUUSD,sell stop,0.01,0.0,4076.67,,,,placed,STR S8
107850,2026-07-30 17:12:10.905000,20961481,XAUUSD,buy stop,0.01,0.0,4099.79,,,,placed,STR B9
107851,2026-07-30 17:12:11.004000,20961482,XAUUSD,sell stop,0.01,0.0,4075.31,,,,placed,STR S9
107852,2026-07-30 17:12:11.103000,20961483,XAUUSD,buy stop,0.01,0.0,4101.15,,,,placed,STR B10
107853,2026-07-30 17:12:11.203000,20961484,XAUUSD,sell stop,0.01,0.0,4073.95,,,,placed,STR S10
107854,2026-07-30 17:12:11.315000,20961485,XAUUSD,buy stop,0.06,0.0,4102.51,,,,placed,STR B11
107855,2026-07-30 17:12:11.415000,20961486,XAUUSD,sell stop,0.06,0.0,4072.59,,,,placed,STR S11
107856,2026-07-30 17:12:11.515000,20961487,XAUUSD,buy stop,0.06,0.0,4103.87,,,,placed,STR B12
107857,2026-07-30 17:12:11.614000,20961488,XAUUSD,sell stop,0.06,0.0,4071.23,,,,placed,STR S12
107858,2026-07-30 17:12:11.714000,20961489,XAUUSD,buy stop,0.06,0.0,4105.23,,,,placed,STR B13
107859,2026-07-30 17:12:11.817000,20961490,XAUUSD,sell stop,0.06,0.0,4069.87,,,,placed,STR S13
107860,2026-07-30 17:12:11.919000,20961491,XAUUSD,buy stop,0.06,0.0,4106.59,,,,placed,STR B14
107861,2026-07-30 17:12:12.019000,20961492,XAUUSD,sell stop,0.06,0.0,4068.51,,,,placed,STR S14
107862,2026-07-30 17:12:12.119000,20961493,XAUUSD,buy stop,0.06,0.0,4107.95,,,,placed,STR B15
107863,2026-07-30 17:12:12.219000,20961494,XAUUSD,sell stop,0.06,0.0,4067.15,,,,placed,STR S15
107864,2026-07-30 17:12:12.319000,20961495,XAUUSD,buy stop,0.06,0.0,4109.31,,,,placed,STR B16
107865,2026-07-30 17:12:12.420000,20961496,XAUUSD,sell stop,0.06,0.0,4065.79,,,,placed,STR S16
107866,2026-07-30 17:12:12.521000,20961497,XAUUSD,buy stop,0.06,0.0,4110.67,,,,placed,STR B17
107867,2026-07-30 17:12:12.622000,20961498,XAUUSD,sell stop,0.06,0.0,4064.43,,,,placed,STR S17
107868,2026-07-30 17:12:12.736000,20961499,XAUUSD,buy stop,0.06,0.0,4112.03,,,,placed,STR B18
107869,2026-07-30 17:12:12.835000,20961500,XAUUSD,sell stop,0.06,0.0,4063.07,,,,placed,STR S18
107870,2026-07-30 17:12:12.934000,20961501,XAUUSD,buy stop,0.06,0.0,4113.39,,,,placed,STR B19
107871,2026-07-30 17:12:13.034000,20961502,XAUUSD,sell stop,0.06,0.0,4061.71,,,,placed,STR S19
107872,2026-07-30 17:12:13.135000,20961503,XAUUSD,buy stop,0.06,0.0,4114.75,,,,placed,STR B20
107873,2026-07-30 17:12:13.235000,20961504,XAUUSD,sell stop,0.06,0.0,4060.35,,,,placed,STR S20
107874,2026-07-30 17:12:13.335000,20961505,XAUUSD,buy stop,0.15,0.0,4116.11,,,,placed,STR B21
107875,2026-07-30 17:12:13.435000,20961506,XAUUSD,sell stop,0.15,0.0,4058.99,,,,placed,STR S21
107876,2026-07-30 17:12:13.535000,20961507,XAUUSD,buy stop,0.15,0.0,4117.47,,,,placed,STR B22
107877,2026-07-30 17:12:13.636000,20961508,XAUUSD,sell stop,0.15,0.0,4057.63,,,,placed,STR S22
107878,2026-07-30 17:12:13.736000,20961509,XAUUSD,buy stop,0.15,0.0,4118.83,,,,placed,STR B23
107879,2026-07-30 17:12:13.838000,20961510,XAUUSD,sell stop,0.15,0.0,4056.27,,,,placed,STR S23
107880,2026-07-30 17:12:13.938000,20961511,XAUUSD,buy stop,0.15,0.0,4120.19,,,,placed,STR B24
107881,2026-07-30 17:12:14.037000,20961512,XAUUSD,sell stop,0.15,0.0,4054.91,,,,placed,STR S24
107882,2026-07-30 17:12:14.136000,20961513,XAUUSD,buy stop,0.15,0.0,4121.55,,,,placed,STR B25
107883,2026-07-30 17:12:14.238000,20961514,XAUUSD,sell stop,0.15,0.0,4053.55,,,,placed,STR S25
107884,2026-07-30 17:12:14.339000,20961515,XAUUSD,buy stop,0.15,0.0,4122.91,,,,placed,STR B26
107885,2026-07-30 17:12:14.439000,20961516,XAUUSD,sell stop,0.15,0.0,4052.19,,,,placed,STR S26
107886,2026-07-30 17:12:14.538000,20961517,XAUUSD,buy stop,0.15,0.0,4124.27,,,,placed,STR B27
107887,2026-07-30 17:12:14.638000,20961518,XAUUSD,sell stop,0.15,0.0,4050.83,,,,placed,STR S27
107888,2026-07-30 17:12:14.739000,20961519,XAUUSD,buy stop,0.15,0.0,4125.63,,,,placed,STR B28
107889,2026-07-30 17:12:14.838000,20961520,XAUUSD,sell stop,0.15,0.0,4049.47,,,,placed,STR S28
107890,2026-07-30 17:12:14.939000,20961521,XAUUSD,buy stop,0.15,0.0,4126.99,,,,placed,STR B29
107891,2026-07-30 17:12:15.038000,20961522,XAUUSD,sell stop,0.15,0.0,4048.11,,,,placed,STR S29
107892,2026-07-30 17:12:15.138000,20961523,XAUUSD,buy stop,0.15,0.0,4128.35,,,,placed,STR B30
107893,2026-07-30 17:12:15.239000,20961524,XAUUSD,sell stop,0.15,0.0,4046.75,,,,placed,STR S30
107894,2026-07-30 17:15:31.458000,20961575,XAUUSD,sell stop,0.01,0.0,4086.19,,,,placed,STR S1
