row,open_time,position_id,symbol,side,volume,open_price,stop_loss,take_profit,close_time,close_price,commission,swap,profit,comment
107835,2026-07-30 17:12:45.043000,20961468,XAUUSD,sell,0.01,4085.57,,,,4094.43,0.0,0.0,-8.86,STR S2
107836,2026-07-30 17:13:04.927000,20961470,XAUUSD,sell,0.01,4083.55,,,,4094.43,0.0,0.0,-10.88,STR S3
107837,2026-07-30 17:16:56.920000,20961473,XAUUSD,buy,0.01,4094.39,,,,4094.15,0.0,0.0,-0.24,STR B5
107838,2026-07-30 17:18:39.453000,20961475,XAUUSD,buy,0.01,4095.71,,,,4094.15,0.0,0.0,-1.56,STR B6
107839,2026-07-30 17:20:36.197000,20961477,XAUUSD,buy,0.01,4097.08,,,,4094.15,0.0,0.0,-2.93,STR B7
107840,2026-07-30 17:23:32.740000,20961723,XAUUSD,buy,0.01,4093.25,,,,4094.15,0.0,0.0,0.9,STR B4
